feature,importance
SRC_AVG_UTILIZATION,0.14312094
LINK_HEALTH_SCORE,0.12672044
SRC_MAX_UTILIZATION,0.10810921
BETWEENNESS,0.07086882
DST_MAX_UTILIZATION,0.06082301
NE_STATUS_ENC,0.051397543
IS_ISOLATED,0.04797766
COMPONENT_SIZE,0.043669596
CLUSTERING_COEF,0.041812655
NE_AGE_DAYS,0.040705163
IS_LEAF,0.037436657
OPERATIONAL_STATE_ENC,0.036278944
HIERARCHY_DEPTH,0.033784136
VENDOR_ENC,0.033658978
GRAPH_DEGREE,0.03142677
ADMIN_STATE_ENC,0.024483267
TOPO_LAYER,0.024042534
TECHNOLOGY_ENC,0.023435654
NE_TYPE_ENC,0.020248007
PROTOCOL_HEALTH_SCORE,0.0
LLDP_STATUS_NUM,0.0
ELECTRICAL_TILT,0.0
AZIMUTH,0.0
DOMAIN_ENC,0.0
DST_MAX_ERROR_RATE,0.0
CATEGORY_ENC,0.0
SRC_WARNING_LINKS,0.0
SRC_CRITICAL_LINKS,0.0
SRC_MAX_DROP_RATE,0.0
SRC_MAX_ERROR_RATE,0.0
NE_STAGE_ENC,0.0
WARRANTY_REMAINING_DAYS,0.0
GEO_COMPLETENESS,0.0
IS_ROOT_NODE,0.0
WARRANTY_EXPIRED,0.0
TECH_GENERATION,0.0
IS_VIRTUAL_NUM,0.0
IS_SECURED_NUM,0.0
BGP_STATUS_NUM,0.0
OSPF_STATUS_NUM,0.0
MECHANICAL_TILT,0.0
